team_abbrev,home_away,stint_number,change_type,change_summary,players_in,players_out,previous_lineup,new_lineup,new_lineup_id,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,duration_minutes,start_elapsed_minutes,end_elapsed_minutes,start_game_clock_label,end_game_clock_label,start_home_score,start_away_score,end_home_score,end_away_score,points_for,points_against,plus_minus
WSH,away,12,Substitution,IN: Angela Dugalic / OUT: Kiki Iriafen,Angela Dugalic,Kiki Iriafen,Cassandre Prosper | Kiki Iriafen | Lucy Olsen | Rori Harmon | Shakira Austin,Angela Dugalic | Cassandre Prosper | Lucy Olsen | Rori Harmon | Shakira Austin,Angela Dugalic || Cassandre Prosper || Lucy Olsen || Rori Harmon || Shakira Austin,869.0,892.0,23.0,0.38333333333333336,14.483333333333333,14.866666666666667,Q2 5:31,Q2 5:08,23.0,26.0,23.0,26.0,0.0,0.0,0.0
WSH,away,13,Substitution,IN: Lauren Betts / OUT: Shakira Austin,Lauren Betts,Shakira Austin,Angela Dugalic | Cassandre Prosper | Lucy Olsen | Rori Harmon | Shakira Austin,Angela Dugalic | Cassandre Prosper | Lauren Betts | Lucy Olsen | Rori Harmon,Angela Dugalic || Cassandre Prosper || Lauren Betts || Lucy Olsen || Rori Harmon,892.0,936.0,44.0,0.7333333333333333,14.866666666666667,15.6,Q2 5:08,Q2 4:24,23.0,26.0,26.0,26.0,0.0,3.0,-3.0
WSH,away,15,Substitution,"IN: Alex Wilson, Georgia Amoore, Sonia Citron / OUT: Cassandre Prosper, Lucy Olsen, Rori Harmon","Alex Wilson, Georgia Amoore, Sonia Citron","Cassandre Prosper, Lucy Olsen, Rori Harmon",Angela Dugalic | Cassandre Prosper | Lauren Betts | Lucy Olsen | Rori Harmon,Alex Wilson | Angela Dugalic | Georgia Amoore | Lauren Betts | Sonia Citron,Alex Wilson || Angela Dugalic || Georgia Amoore || Lauren Betts || Sonia Citron,971.0,1018.0,47.0,0.7833333333333333,16.183333333333334,16.966666666666665,Q2 3:49,Q2 3:02,27.0,28.0,28.0,28.0,0.0,1.0,-1.0
WSH,away,16,Substitution,"IN: Kiki Iriafen, Shakira Austin / OUT: Angela Dugalic, Lauren Betts","Kiki Iriafen, Shakira Austin","Angela Dugalic, Lauren Betts",Alex Wilson | Angela Dugalic | Georgia Amoore | Lauren Betts | Sonia Citron,Alex Wilson | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Alex Wilson || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,1018.0,1052.0,34.0,0.5666666666666667,16.966666666666665,17.533333333333335,Q2 3:02,Q2 2:28,28.0,28.0,28.0,30.0,2.0,0.0,2.0
WSH,away,20,Substitution,IN: Cassandre Prosper / OUT: Alex Wilson,Cassandre Prosper,Alex Wilson,Alex Wilson | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,1200.0,1481.0,281.0,4.683333333333334,20.0,24.683333333333334,Q3 10:00,Q3 5:19,30.0,37.0,38.0,44.0,7.0,8.0,-1.0
WSH,away,21,Substitution,"IN: Angela Dugalic, Lauren Betts, Rori Harmon / OUT: Georgia Amoore, Kiki Iriafen, Shakira Austin","Angela Dugalic, Lauren Betts, Rori Harmon","Georgia Amoore, Kiki Iriafen, Shakira Austin",Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Angela Dugalic | Cassandre Prosper | Lauren Betts | Rori Harmon | Sonia Citron,Angela Dugalic || Cassandre Prosper || Lauren Betts || Rori Harmon || Sonia Citron,1481.0,1506.0,25.0,0.4166666666666667,24.683333333333334,25.1,Q3 5:19,Q3 4:54,38.0,44.0,38.0,44.0,0.0,0.0,0.0
WSH,away,23,Substitution,IN: Alex Wilson / OUT: Cassandre Prosper,Alex Wilson,Cassandre Prosper,Angela Dugalic | Cassandre Prosper | Lauren Betts | Rori Harmon | Sonia Citron,Alex Wilson | Angela Dugalic | Lauren Betts | Rori Harmon | Sonia Citron,Alex Wilson || Angela Dugalic || Lauren Betts || Rori Harmon || Sonia Citron,1561.0,1607.0,46.0,0.7666666666666667,26.016666666666666,26.783333333333335,Q3 3:59,Q3 3:13,39.0,47.0,39.0,47.0,0.0,0.0,0.0
WSH,away,26,Substitution,"IN: Cassandre Prosper, Georgia Amoore, Kiki Iriafen, Shakira Austin / OUT: Alex Wilson, Angela Dugalic, Lauren Betts, Rori Harmon","Cassandre Prosper, Georgia Amoore, Kiki Iriafen, Shakira Austin","Alex Wilson, Angela Dugalic, Lauren Betts, Rori Harmon",Alex Wilson | Angela Dugalic | Lauren Betts | Rori Harmon | Sonia Citron,Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,1800.0,1932.0,132.0,2.2,30.0,32.2,Q4 10:00,Q4 7:48,47.0,51.0,49.0,51.0,0.0,2.0,-2.0
WSH,away,28,Substitution,IN: Rori Harmon / OUT: Georgia Amoore,Rori Harmon,Georgia Amoore,Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper | Kiki Iriafen | Rori Harmon | Shakira Austin | Sonia Citron,Cassandre Prosper || Kiki Iriafen || Rori Harmon || Shakira Austin || Sonia Citron,1981.0,2012.0,31.0,0.5166666666666667,33.016666666666666,33.53333333333333,Q4 6:59,Q4 6:28,49.0,53.0,49.0,54.0,1.0,0.0,1.0
WSH,away,30,Substitution,IN: Alex Wilson / OUT: Cassandre Prosper,Alex Wilson,Cassandre Prosper,Cassandre Prosper | Kiki Iriafen | Rori Harmon | Shakira Austin | Sonia Citron,Alex Wilson | Kiki Iriafen | Rori Harmon | Shakira Austin | Sonia Citron,Alex Wilson || Kiki Iriafen || Rori Harmon || Shakira Austin || Sonia Citron,2045.0,2134.0,89.0,1.4833333333333334,34.083333333333336,35.56666666666667,Q4 5:55,Q4 4:26,49.0,54.0,53.0,56.0,2.0,4.0,-2.0
WSH,away,31,Substitution,IN: Cassandre Prosper / OUT: Alex Wilson,Cassandre Prosper,Alex Wilson,Alex Wilson | Kiki Iriafen | Rori Harmon | Shakira Austin | Sonia Citron,Cassandre Prosper | Kiki Iriafen | Rori Harmon | Shakira Austin | Sonia Citron,Cassandre Prosper || Kiki Iriafen || Rori Harmon || Shakira Austin || Sonia Citron,2134.0,2142.0,8.0,0.13333333333333333,35.56666666666667,35.7,Q4 4:26,Q4 4:18,53.0,56.0,57.0,56.0,0.0,4.0,-4.0
WSH,away,34,Substitution,IN: Lucy Olsen / OUT: Cassandre Prosper,Lucy Olsen,Cassandre Prosper,Cassandre Prosper | Kiki Iriafen | Rori Harmon | Shakira Austin | Sonia Citron,Kiki Iriafen | Lucy Olsen | Rori Harmon | Shakira Austin | Sonia Citron,Kiki Iriafen || Lucy Olsen || Rori Harmon || Shakira Austin || Sonia Citron,2209.0,2400.0,191.0,3.183333333333333,36.81666666666667,40.0,Q4 3:11,OT1 5:00,57.0,60.0,65.0,68.0,8.0,8.0,0.0
